State,State Code,Avg Fine Particulate Matter (µg/m≥)
Alabama,1,13.95
Arizona,4,10.85
Arkansas,5,12.13
California,6,11.65
Colorado,8,10.76
Connecticut,9,11.2
Delaware,10,12.87
District of Columbia,11,13.58
Florida,12,10.35
Georgia,13,13.3
Idaho,16,9.53
Illinois,17,13.38
Indiana,18,14.36
Iowa,19,11.15
Kansas,20,10.51
Kentucky,21,14.1
Louisiana,22,11.63
Maine,23,9.64
Maryland,24,13.47
Massachusetts,25,10.69
Michigan,26,11.41
Minnesota,27,11.69
Mississippi,28,13.16
Missouri,29,11.17
Montana,30,10.49
Nebraska,31,11.21
Nevada,32,12.96
New Hampshire,33,9.97
New Jersey,34,12.46
New Mexico,35,9.09
New York,36,11.2
North Carolina,37,12.99
North Dakota,38,9.61
Ohio,39,14.23
Oklahoma,40,10.2
Oregon,41,9.13
Pennsylvania,42,13.35
Rhode Island,44,10.94
South Carolina,45,13.16
South Dakota,46,10.28
Tennessee,47,14.02
Texas,48,10.18
Utah,49,10.56
Vermont,50,9.92
Virginia,51,13.26
Washington,53,10.2
West Virginia,54,13.76
Wisconsin,55,11.47
Wyoming,56,9.81
